judet,x,y
Ilfov,142,-230
Giurgiu,118,-322
Prahova,107,-124
Calarasi,221,-282
Ialomita,223,-219
Constanta,435,-262
Tulcea,440,-160
Braila,336,-146
Buzau,191,-90
Vrancea,226,-9
Galati,338,-8
Vaslui,340,85
Iasi,245,256
Botosani,188,383
Suceava,53,292
Neamt,131,219
Bacau,209,71
Covasna,131,13
Harghita,65,105
Brasov,20,-12
Mures,-30,140
Bistrita Nasaud,-53,266
Maramures,-116,340
Salaj,-258,245
Cluj,-160,190
Alba,-210,70
Sibiu,-82,19
Arges,-33,-106
Dambovita,65,-230
Valcea,-123,-99
Satu Mare,-280,320
Bihor,-363,173
Arad,-415,99
Hunedoara,-245,-80
Timis,-415,-50
Caras Severin,-385,-158
Gorj,-247,-145
Mehedinti,-265,-274
Dolj,-195,-345
Olt,-71,-311
Teleorman,22,-312
