orase,x,y
Bucuresti,141,-269
Giurgiu,131,-358
Ploiesti,129,-173
Calarasi,294,-313
Slobozia,303,-244
Constanta,450,-319
Tulcea,483,-131
Braila,371,-114
Buzau,234,-133
Focsani,275,-33
Galati,380,-77
Vaslui,334,137
Iasi,313,233
Botosani,199,337
Suceava,151,316
Piatra Neamt,169,181
Bacau,237,117
Sfantu Gheorghe,100,-4
Miercurea Ciuc,95,73
Brasov,71,-45
Targu Mures,-52,109
Bistrita,-58,218
Baia Mare,-168,319
Zalau,-239,228
Cluj Napoca,-174,151
Alba Iulia,-181,21
Sibiu,-107,-18
Pitesti,-16,-191
Targoviste,57,-178
Ramnicu Valcea,-77,-148
Satu Mare,-235,345
Oradea,-370,216
Arad,-453,56
Deva,-264,-31
Timisoara,-465,-27
Resita,-388,-115
Targu Jiu,-215,-166
Drobeta Turnu Severin,-290,-230
Craiova,-148,-295
Slatina,-76,-273
Alexandria,44,-355
